rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
435;3;"Bevaka; begär tillsyn om avverkning inte skett";A 12569-2023;YDRE;Avverkning tillåten: äldre anmälan;Medel;42.6;2023-03-15;-1229;2028-03-13;2.6;2.61297118856497;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 96 %";0;0;0;0;0;7;0;44.4;0;0.96;757;Kullarp;1761;Skrivaremomossen;"";Goodyera repens (knärot, VU, fridlyst, 2020);513747;6400498;15.23093;57.74638
436;3;"Bevaka; begär tillsyn om avverkning inte skett";A 53881-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;42.6;2025-10-31;-268;2030-10-30;2.6;2.55843967760801;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 87 %";0;0;0;0;0;6;0;55.4;0;0.872;5715;Stora Rimmö;5715;Stora Rimmö;"";"Goodyera repens (knärot, VU, fridlyst, 2024); Porodaedalea pini (tallticka, NT, 2024)";610317;6483657;16.89183;58.47957
437;3;"Bevaka; begär tillsyn om avverkning inte skett";A 50558-2021;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;42.5;2021-09-20;-1770;2026-09-19;0.5;0.486659219993511;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 71); hög skog >= 20 m på 100 %";0;0;0;0;0;16;0;71.1;0;1;3922;Magnehults domänreservat;3500;Hjälmstorpenäs;"";Grus grus (trana, LC, prio. fågel, 2026);562441;6516716;16.08016;58.78591
438;3;"Bevaka; begär tillsyn om avverkning inte skett";A 20587-2024;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;42.5;2024-05-24;-793;2029-05-23;0.5;0.539815220001549;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom 150 m (4 §); hög skoglig naturvärdessannolikhet (HCVF 82); hög skog >= 20 m på 99 %";0;0;0;0;0;9;0;82.4;0;0.989;5297;Mjälnäs sumpskog;5748;Klinta hällar;"";Haliaeetus albicilla (havsörn, LC, prio. fågel, 2021);565236;6517670;16.12878;58.79406
439;3;"Bevaka; begär tillsyn om avverkning inte skett";A 59768-2021;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;42.4;2021-10-25;-1735;2026-10-24;2.4;2.40304542959393;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 86 %";0;0;0;0;0;8;0;41.7;0;0.864;2156;Runstorp;2156;Runstorp;"";Goodyera repens (knärot, VU, fridlyst, 2014);552364;6488528;15.89934;58.53412
440;3;"Bevaka; begär tillsyn om avverkning inte skett";A 61800-2025;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Medel;42.4;2025-12-11;-227;2030-12-10;2.4;2.42943586502266;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 78); hög skog >= 20 m på 100 %";0;0;0;0;0;8;0;78.3;0;1;1991;Ekebergs lövskog;1991;Ekebergs lövskog;"";"Fraxinus excelsior (ask, EN, 2016); Ulmus glabra (skogsalm, EN, 2016); Blitum bonus-henricus (lungrot, VU, 2016)";494328;6446540;14.9036;58.16011
441;3;"Bevaka; begär tillsyn om avverkning inte skett";A 51335-2025;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;42.3;2025-10-20;-279;2030-10-19;2.3;2.3037415713144;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;9;0;17.1;0.006;0.986;2245;Stentorpsmyren-Svarthagen;3650;Skogssjöområdet;"";"Pulsatilla vulgaris (backsippa, VU, fridlyst, 2023); Carex caryophyllea (vårstarr, NT, 2014)";504614;6462435;15.07872;58.30289
442;3;"Bevaka; begär tillsyn om avverkning inte skett";A 53500-2022;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;42.2;2022-11-09;-1355;2027-11-08;2.2;2.21054795101108;Föryngringsavverkning;Normal skog;FALSE;TRUE;"nyckelbiotop överlappar; hög skog >= 20 m på 98 %";0;0;0;0;0;39;0.288631041015237;65.1;0.028;0.975;2594;Kimstad ekbacke;2924;Långnäs;"";"";558922;6491271;16.01266;58.55791
443;3;"Bevaka; begär tillsyn om avverkning inte skett";A 12605-2026;KINDA;Avverkning tillåten: äldre anmälan;Medel;42.2;2026-03-09;-139;2031-03-08;2.3;2.24242596681523;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 79); hög skog >= 20 m på 98 %";0;0;0;0;0;7;1.39080815795343e-05;78.7;0.07;0.98;1610;Törnevik;1613;Törnevik;"";"Hylocomiastrum umbratum (mörk husmossa, LC, 2017); Lactifluus volemus (mandelriska, LC, 2011); Chrysosplenium alternifolium (gullpudra, NT, 2017); Lecanographa amylacea (gammelekslav, NT, 2017); Trichocolea tomentella (dunmossa, NT, 2017); Xylobolus frustulatus (rutskinn, NT, 2011); Hygrophorus nemoreus (lundvaxskivling, VU, 2011)";534921;6449300;15.59384;58.18355
444;3;"Bevaka; begär tillsyn om avverkning inte skett";A 47446-2025;BOXHOLM;Avverkning tillåten: äldre anmälan;Medel;42.1;2025-09-30;-299;2030-09-29;3.1;4.06843279499643;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 83); hög skog >= 20 m på 94 %";0;0;0;0;0;0;0;82.9;0;0.935;2286;Bösebo;5566;Romanäs;"";"";503867;6441789;15.06564;58.11746
445;3;"Bevaka; begär tillsyn om avverkning inte skett";A 4248-2026;YDRE;Avverkning tillåten: äldre anmälan;Medel;42.1;2026-01-23;-184;2031-01-22;4.9;5.10441442684271;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 100 %";0;0;1;0;1;2;0;39.6;0;0.995;3135;Trangölamyren (Östgötadelen);1737;Brokabobäcken;Tetrao urogallus (tjäder, LC, prio. fågel, 2024);"";507598;6399258;15.1276;57.73539
446;3;"Bevaka; begär tillsyn om avverkning inte skett";A 42682-2024;FINSPÅNG;Avverkning tillåten: äldre anmälan;Medel;41.9;2024-10-01;-663;2029-09-30;3.8;3.88243728001314;Föryngringsavverkning;Normal skog;FALSE;TRUE;rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon);0;0;0;0;0;2;0;55.9;0;0.263;8929;Magnehults domänreservat;5066;Pipmossens domänreservat;"";Goodyera repens (knärot, VU, fridlyst, 2024);561010;6528520;16.05864;58.8921
447;3;"Bevaka; begär tillsyn om avverkning inte skett";A 43753-2025;LINKÖPING;Avverkning tillåten: äldre anmälan;Medel;41.9;2025-09-12;-317;2030-09-11;1.7;1.94167427064576;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 98 %";0;0;0;0;0;30;0;40.9;0;0.979;1397;Ycke urskog;1388;Ycke;"";"Goodyera repens (knärot, VU, fridlyst, 2021); Fraxinus excelsior (ask, EN, 2010); Cossus cossus (större träfjäril, LC, 2007); Inocutis rheades (rävticka, LC, 2021); Lactarius scrobiculatus (svavelriska, LC, 2008); Leptogium saturninum (skinnlav, LC, 2011); Collema subnigrescens (aspgelélav, VU, 2011); Zygaena osterodensis (smalsprötad bastardsvärmare, VU, 2013)";524015;6440464;15.40747;58.10492
448;3;"Bevaka; begär tillsyn om avverkning inte skett";A 12156-2024;MOTALA;Avverkning tillåten: äldre anmälan;Medel;41.7;2024-03-26;-852;2029-03-25;1.7;1.68441083655455;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 82); hög skog >= 20 m på 98 %; Natura 2000 inom 479 m (Vättern (östra))";0;0;0;0;0;0;0;82.1;0;0.982;479;Vättern (östra);2396;Motalabuktens öreservat;"";"";495256;6493163;14.91843;58.57887
449;3;"Bevaka; begär tillsyn om avverkning inte skett";A 51020-2025;FINSPÅNG;Avverkning tillåten: äldre anmälan;Medel;41.7;2025-10-17;-282;2030-10-16;1.4;1.72634787000613;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 72); hög skog >= 20 m på 97 %";0;0;0;0;1;17;0;72;0.11;0.972;5910;Ölstadsjön;1069;Torstorpeskogen;Eptesicus nilssonii (nordfladdermus, NT, 2021);"Hepatica nobilis (blåsippa, LC, fridlyst, 2025); Acolium inquinans (sotlav, LC, 2025); Alleniella complanata (platt fjädermossa, LC, 2025); Lathraea squamaria (vätteros, LC, 2021); Myotis nattereri (fransfladdermus, NT, 2021); Fomitiporia robusta (ekticka, NT, 2025); Lathyrus vernus (vårärt, NT, 2021); Plecotus auritus (brunlångöra, NT, 2021)";541871;6507924;15.72273;58.70944
450;3;"Bevaka; begär tillsyn om avverkning inte skett";A 1589-2026;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Medel;41.7;2026-01-12;-195;2031-01-11;3.4;3.69279073350402;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 76); hög skog >= 20 m på 98 %";0;0;0;0;0;0;0;75.9;0;0.985;1555;Ekebergs lövskog;1555;Ekebergs lövskog;"";"";492239;6449578;14.86801;58.18737
451;3;"Bevaka; begär tillsyn om avverkning inte skett";A 9532-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;41.6;2025-02-27;-514;2030-02-26;1.2;1.61660427499506;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 90 %";0;0;0;0;0;6;0;35.6;0;0.896;2648;Glotternskogen;2537;Övre Glottern;"";"Hepatica nobilis (blåsippa, LC, fridlyst, 2023); Goodyera repens (knärot, VU, fridlyst, 2023)";567823;6512224;16.17188;58.74476
452;3;"Bevaka; begär tillsyn om avverkning inte skett";A 16128-2025;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Medel;41.6;2025-04-03;-479;2030-04-02;1.6;1.61366884200275;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 87); hög skog >= 20 m på 100 %";0;0;0;0;0;9;0;87.1;0;1;2192;Skruvhult;4631;Lysings urskog;"";Fraxinus excelsior (ask, EN, 2022);486475;6439516;14.77057;58.09685
453;3;"Bevaka; begär tillsyn om avverkning inte skett";A 44757-2025;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;41.6;2025-09-17;-312;2030-09-16;4.3;1.57482628174532;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 95 %";0;0;0;0;0;7;0;21.6;0;0.948;3973;Solberga;3973;Solberga;"";"Goodyera repens (knärot, VU, fridlyst, 2016); Chrysosplenium alternifolium (gullpudra, NT, 2016)";516909;6464644;15.28866;58.32243
454;3;"Bevaka; begär tillsyn om avverkning inte skett";A 46951-2025;VALDEMARSVIK;Avverkning tillåten: äldre anmälan;Medel;41.6;2025-09-29;-300;2030-09-28;1.6;1.61796830489486;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 91 %";0;0;0;0;0;4;0;13.9;0;0.911;5290;Harsbo-Sverkersholm;5285;Käringbergen;"";"Lucanus cervus (ekoxe, LC, fridlyst, 2026); Fraxinus excelsior (ask, EN, 2020)";582065;6466922;16.40155;58.33553
455;3;"Bevaka; begär tillsyn om avverkning inte skett";A 33532-2024;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;41.5;2024-08-15;-710;2029-08-14;1.5;1.5496343381539;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 74 %";0;0;0;0;0;6;0;41.4;0.051;0.741;2825;Stentorpsmyren-Svarthagen;3828;Skogssjöområdet;"";"Hepatica nobilis (blåsippa, LC, fridlyst, 2014); Pulsatilla vulgaris (backsippa, VU, fridlyst, 2023)";504984;6462069;15.08503;58.2996
456;3;"Bevaka; begär tillsyn om avverkning inte skett";A 30531-2025;YDRE;Avverkning tillåten: äldre anmälan;Medel;41.4;2025-06-23;-398;2030-06-22;1.4;1.43301646850994;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 74); hög skog >= 20 m på 98 %";0;0;0;0;0;4;0;74.2;0.012;0.981;1443;Ivranäs;3966;Idebo;"";Ulmus glabra (skogsalm, EN, 2019);515537;6423949;15.26254;57.95696
457;3;"Bevaka; begär tillsyn om avverkning inte skett";A 53239-2024;KINDA;Avverkning tillåten: äldre anmälan;Medel;41.3;2024-11-17;-616;2029-11-16;1.3;1.3060467848531;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 100 %";0;0;0;0;0;13;0;47.9;0;1;1770;Klevberget Sonebo;1359;Borgarmon;"";"Goodyera repens (knärot, VU, fridlyst, 2021); Zygaena osterodensis (smalsprötad bastardsvärmare, VU, 2020)";538411;6443513;15.65223;58.13129
458;3;"Bevaka; begär tillsyn om avverkning inte skett";A 6004-2025;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Medel;41.3;2025-02-07;-534;2030-02-06;1.3;1.25808314484227;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 80); hög skog >= 20 m på 98 %; Natura 2000 inom 496 m (Trulstorpet)";0;0;0;0;0;2;0;79.6;0;0.982;496;Trulstorpet;2147;Kulla ängar;"";"";560386;6441802;16.02487;58.11348
459;3;"Bevaka; begär tillsyn om avverkning inte skett";A 39237-2025;YDRE;Avverkning tillåten: äldre anmälan;Medel;41.3;2025-08-20;-340;2030-08-19;1.3;1.32513592109911;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 77); hög skog >= 20 m på 98 %";0;0;0;0;0;6;0;77.1;0;0.978;3351;Granstugan;4415;Rubban;"";"Hepatica nobilis (blåsippa, LC, fridlyst, 2020); Ulmus glabra (skogsalm, EN, 2020)";503080;6422768;15.05203;57.94662
460;3;"Bevaka; begär tillsyn om avverkning inte skett";A 63760-2025;VALDEMARSVIK;Avverkning tillåten: äldre anmälan;Medel;41.3;2025-12-27;-211;2030-12-26;3.3;3.25369239703545;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 82); hög skog >= 20 m på 97 %";0;0;0;0;1;11;0;81.5;0;0.969;2078;Arnö (delar av);2078;Arnö;Phaeolus schweinitzii (grovticka, LC, 2025);Leucobryum glaucum (blåmossa, LC, 2025);600263;6440195;16.7007;58.09181
461;3;"Bevaka; begär tillsyn om avverkning inte skett";A 52847-2024;BOXHOLM;Avverkning tillåten: äldre anmälan;Medel;41.2;2024-11-14;-619;2029-11-13;1.2;1.1896589743512;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 75); hög skog >= 20 m på 98 %";0;0;0;0;1;5;0;75.3;0;0.978;4619;Gökshult;5897;Pålsbo;Carex caryophyllea (vårstarr, NT, 2020);"";511960;6445290;15.20318;58.14876
462;3;"Bevaka; begär tillsyn om avverkning inte skett";A 28558-2023;FINSPÅNG;Avverkning tillåten: äldre anmälan;Medel;41.1;2023-06-26;-1126;2028-06-24;11.1;11.1301679820098;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 78); hög skog >= 20 m på 99 %";0;0;0;0;0;1;0;77.8;0;0.986;6861;Stora Mossen (Igelfors);6850;Stora mossen;"";"";532211;6515514;15.55709;58.77843
463;3;"Bevaka; begär tillsyn om avverkning inte skett";A 22833-2023;LINKÖPING;Avverkning tillåten: äldre anmälan;Medel;41;2023-05-25;-1158;2028-05-23;1;1.02615699030375;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 96 %";0;0;0;0;0;38;0;30.3;0;0.961;5996;Lunderna;8794;Sturefors;"";"Sarcosoma globosum (bombmurkla, EN, fridlyst, 2019); Ulmus glabra (skogsalm, EN, 2016); Climacocystis borealis (trådticka, LC, 2014); Galium odoratum (myskmadra, LC, 2022); Hermanssonia centrifuga (rynkskinn, NT, 2017); Rhizocybe vermicularis (stor vårtrattskivling, NT, 2016); Sarcodon imbricatus (fjällig taggsvamp s.str., NT, 2017); Erinaceus europaeus (igelkott, VU, 2026); Hieracium lugubre (sorgfibbla, VU, 2016); Hieracium valentius (starkfibbla, VU, 2008)";545800;6475907;15.78409;58.42151
464;3;"Bevaka; begär tillsyn om avverkning inte skett";A 56879-2023;SÖDERKÖPING;Avverkning tillåten: äldre anmälan;Medel;41;2023-11-14;-985;2028-11-12;1;0.953858499847399;Föryngringsavverkning;Normal skog;FALSE;TRUE;"nyckelbiotop överlappar; hög skog >= 20 m på 87 %";0;0;0;0;0;1;0.246877283549859;41.2;0.091;0.866;980;Uggelö;980;Uggelö;"";"";603856;6471376;16.77554;58.37091
465;3;"Bevaka; begär tillsyn om avverkning inte skett";A 55939-2025;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;41;2025-11-12;-256;2030-11-11;1;1.01053116970351;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 100 %";0;0;0;0;0;6;0;28.4;0;0.999;2555;Stentorpsmyren-Svarthagen;3821;Skogssjöområdet;"";"Pulsatilla vulgaris (backsippa, VU, fridlyst, 2023); Carex caryophyllea (vårstarr, NT, 2014)";504803;6462244;15.08194;58.30117
466;3;"Bevaka; begär tillsyn om avverkning inte skett";A 51808-2021;FINSPÅNG;Avverkning tillåten: äldre anmälan;Medel;40.9;2021-09-23;-1767;2026-09-22;0.8;0.905678210405202;Avverkning för att bevara och utveckla /försöksver;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 76); hög skog >= 20 m på 100 %; Natura 2000 inom 294 m (Stockhult)";0;0;0;0;0;4;0;75.6;0;0.995;294;Stockhult;2776;Stora mossen;"";"";531426;6522904;15.54455;58.84485
467;3;"Bevaka; begär tillsyn om avverkning inte skett";A 8014-2022;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Medel;40.9;2022-02-17;-1620;2027-02-16;0.9;0.949262525991991;Avverkning för annat ändamål;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 66 %";0;0;0;0;1;9;0;25;0.06;0.66;3193;Stockmossen;3193;Stockmossen;Porodaedalea pini (tallticka, NT, 2022);"Lucanus cervus (ekoxe, LC, fridlyst, 2026); Scorzonera humilis (svinrot, NT, 2022)";551409;6461827;15.87696;58.29444
468;3;"Bevaka; begär tillsyn om avverkning inte skett";A 13673-2024;KINDA;Avverkning tillåten: äldre anmälan;Medel;40.9;2024-04-08;-839;2029-04-07;0.9;0.876090216249041;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;4;0;56.8;0;0.989;4085;Ekhult;4085;Ekhult;"";"Dactylorhiza majalis (dubbelnycklar, LC, fridlyst, 2011); Goodyera repens (knärot, VU, fridlyst, 2011)";562598;6425981;16.0582;57.97109
469;3;"Bevaka; begär tillsyn om avverkning inte skett";A 41274-2025;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;40.9;2025-08-29;-331;2030-08-28;2.9;2.93123360611126;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 100 %";0;0;0;1;1;8;0;23.8;0;0.999;1837;Örbackens kalkkärr;430;Skogssjöområdet;Erinaceus europaeus (igelkott, VU, 2025);Porodaedalea pini (tallticka, NT, 2011);507665;6468198;15.13097;58.35461
470;3;"Bevaka; begär tillsyn om avverkning inte skett";A 62446-2025;YDRE;Avverkning tillåten: äldre anmälan;Medel;40.9;2025-12-16;-222;2030-12-15;0.9;0.946929250655306;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;5;0;68.9;0;0.989;3348;Granstugan;4689;Rubban;"";"Corallorhiza trifida (korallrot, LC, fridlyst, 2014); Goodyera repens (knärot, VU, fridlyst, 2021); Carex hostiana (ängsstarr, NT, 2017)";501425;6423200;15.02407;57.9505
471;3;"Bevaka; begär tillsyn om avverkning inte skett";A 64015-2025;ÖDESHÖG;Avverkning tillåten: äldre anmälan;Medel;40.9;2025-12-30;-208;2030-12-29;1;0.9299155842999;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 86); hög skog >= 20 m på 98 %";0;0;0;0;0;8;0;86.3;0.019;0.981;2143;Skruvhult;4849;Lysings urskog;"";Fraxinus excelsior (ask, EN, 2022);486485;6439381;14.77075;58.09564
472;3;"Bevaka; begär tillsyn om avverkning inte skett";A 54671-2023;KINDA;Avverkning tillåten: äldre anmälan;Medel;40.8;2023-11-05;-994;2028-11-03;10.8;10.8392549712106;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 71); hög skog >= 20 m på 98 %";0;0;0;0;0;0;0;71;0;0.977;789;Ivranäs;760;Sommenäs;"";"";523882;6427615;15.40392;57.98952
473;3;"Bevaka; begär tillsyn om avverkning inte skett";A 4368-2025;KINDA;Avverkning tillåten: äldre anmälan;Medel;40.8;2025-01-29;-543;2030-01-28;0.8;0.804557401148137;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 100 %";0;0;0;0;0;3;0;61.6;0;1;5959;Föllingsö;7694;Klefsbergen;"";Pulsatilla vernalis (mosippa, EN, fridlyst, 2023);536805;6420005;15.62129;57.92029
474;3;"Bevaka; begär tillsyn om avverkning inte skett";A 45648-2025;SÖDERKÖPING;Avverkning tillåten: äldre anmälan;Medel;40.8;2025-09-23;-306;2030-09-22;0.8;0.794383193463832;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;17;0;49.3;0;0.992;1281;Uvmarö;1161;Nedre Lagnö naturreservat;"";"Sarcosoma globosum (bombmurkla, EN, fridlyst, 2017); Lucanus cervus (ekoxe, LC, fridlyst, 2026); Porodaedalea pini (tallticka, NT, 2020)";606598;6467860;16.82076;58.33868
475;3;"Bevaka; begär tillsyn om avverkning inte skett";A 21700-2023;KINDA;Avverkning tillåten: äldre anmälan;Medel;40.6;2023-05-16;-1167;2028-05-14;0.7;0.602506424648315;Föryngringsavverkning;Normal skog;FALSE;TRUE;"hög skoglig naturvärdessannolikhet (HCVF 76); hög skog >= 20 m på 95 %; Natura 2000 inom 411 m (Gamla Måla)";0;0;0;0;0;12;0;76.5;0;0.95;411;Gamla Måla;1260;Svalgölenbranten;"";"";525722;6437178;15.43609;58.07531
476;3;"Bevaka; begär tillsyn om avverkning inte skett";A 30551-2023;LINKÖPING;Avverkning tillåten: äldre anmälan;Medel;40.6;2023-07-04;-1118;2028-07-02;0.6;0.601690527851507;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; hög skoglig naturvärdessannolikhet (HCVF 71); hög skog >= 20 m på 99 %";0;0;0;0;0;15;0;71;0;0.994;4954;Klevberget Sonebo;1320;Trollegater;"";"Hepatica nobilis (blåsippa, LC, fridlyst, 2021); Antitrichia curtipendula (fällmossa, LC, 2022); Phellopilus nigrolimitatus (gränsticka, VU, 2011)";532325;6444954;15.54909;58.14472
477;3;"Bevaka; begär tillsyn om avverkning inte skett";A 12253-2024;MJÖLBY;Avverkning tillåten: äldre anmälan;Medel;40.6;2024-03-27;-851;2029-03-26;0.6;0.576397299709171;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 97 %";0;0;0;0;0;6;0;19.1;0;0.968;3907;Solberga;3907;Solberga;"";"Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2017); Goodyera repens (knärot, VU, fridlyst, 2016); Chrysosplenium alternifolium (gullpudra, NT, 2016)";516836;6464742;15.28742;58.3233
478;3;"Bevaka; begär tillsyn om avverkning inte skett";A 46806-2024;NORRKÖPING;Avverkning tillåten: äldre anmälan;Medel;40.6;2024-10-18;-646;2029-10-17;0.6;0.556063754998241;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 99 %";0;0;0;0;0;25;0;59.4;0;0.987;5256;Magnehults domänreservat;3682;Hjälmstorpenäs;"";"Bufo bufo (vanlig padda, LC, fridlyst, 2025); Goodyera repens (knärot, VU, fridlyst, 2025); Leucobryum glaucum (blåmossa, LC, 2025); Tomicus minor (mindre märgborre, LC, 2025); Hertelidea botryosa (vedskivlav, NT, 2025); Cladonia parasitica (dvärgbägarlav, NT, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025); Porodaedalea pini (tallticka, NT, 2025)";563001;6515458;16.08949;58.77453
479;3;"Bevaka; begär tillsyn om avverkning inte skett";A 43758-2025;LINKÖPING;Avverkning tillåten: äldre anmälan;Medel;40.6;2025-09-12;-317;2030-09-11;0.6;0.578670683700831;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 100 %";0;0;0;0;0;20;0;50.1;0;0.997;1581;Ycke urskog;1573;Ycke;"";"Goodyera repens (knärot, VU, fridlyst, 2021); Inocutis rheades (rävticka, LC, 2021)";524065;6440354;15.40831;58.10393
